node_id,x,y,degree,node_type,elevation_m,demand_lps,service_area_m2,pressure_m,head_m,cluster,f1_topology,dma_mean_elev,f2_elevation,dma_p_lo,dma_p_hi,f3_pressure,dma_mean_demand,f4_demand,passed,selected
J1,280144.042,2117131.005,1,dead_end,44.22,0.64225,38547.9,59.62,103.84,1,True,44.577999999999996,False,52.72,66.21,False,0.2977485,True,False,False
J2,280170.262,2117149.483,1,dead_end,45.3,0.10986,6593.8,60.34,105.64,1,True,44.577999999999996,True,52.72,66.21,False,0.2977485,False,False,False
J3,280193.54,2117144.482,5,junction,45.3,0.30129,18083.5,60.37,105.67,1,True,44.577999999999996,True,52.72,66.21,False,0.2977485,True,False,True
J4,280193.833,2116875.828,1,dead_end,37.76,0.73722,44248.0,58.72,96.48,1,True,44.577999999999996,False,52.72,66.21,False,0.2977485,True,False,False
J5,280206.209,2117305.695,1,dead_end,46.29,0.2696,16181.4,59.3,105.59,1,True,44.577999999999996,True,52.72,66.21,False,0.2977485,False,False,False
J6,280235.756,2117301.837,4,junction,46.83,0.06677,4007.7,58.91,105.74,1,True,44.577999999999996,True,52.72,66.21,False,0.2977485,False,False,False
J7,280237.353,2117307.861,1,dead_end,46.83,0.27467,16485.8,58.88,105.71,1,True,44.577999999999996,True,52.72,66.21,False,0.2977485,False,False,False
J8,280247.755,2117211.087,3,junction,45.92,0.32208,19331.5,60.03,105.95,1,True,44.577999999999996,True,52.72,66.21,False,0.2977485,True,False,True
J9,280319.849,2115993.528,1,dead_end,43.3,0.0048,288.0,32.42,75.72,3,True,42.5,True,27.81,35.73,False,0.04089285714285714,False,False,False
J10,280320.266,2115964.571,1,dead_end,46.4,0.1562,9375.4,23.84,70.24,3,True,42.5,True,27.81,35.73,True,0.04089285714285714,True,True,True
J11,280331.683,2115943.287,3,junction,44.73,0.16274,9767.9,25.63,70.36,3,True,42.5,True,27.81,35.73,True,0.04089285714285714,True,True,True
J12,280354.611,2115943.297,1,dead_end,43.89,0.04394,2637.2,26.47,70.36,3,True,42.5,True,27.81,35.73,True,0.04089285714285714,True,True,True
J13,280360.433,2116895.718,1,dead_end,41.21,0.47204,28332.1,67.53,108.74,1,True,44.577999999999996,False,52.72,66.21,True,0.2977485,True,False,False
J14,280383.253,2115951.067,1,dead_end,42.22,0.00653,392.0,28.02,70.24,3,True,42.5,False,27.81,35.73,False,0.04089285714285714,False,False,False
J15,280383.691,2115957.949,1,dead_end,42.21,0.01904,1142.7,28.03,70.24,3,True,42.5,False,27.81,35.73,False,0.04089285714285714,False,False,False
J16,280397.027,2115951.395,3,junction,42.33,0.00722,433.4,27.91,70.24,3,True,42.5,False,27.81,35.73,False,0.04089285714285714,False,False,False
J17,280397.136,2115942.655,3,junction,42.33,0.00311,186.6,27.92,70.25,3,True,42.5,False,27.81,35.73,False,0.04089285714285714,False,False,False
J18,280397.464,2115932.386,1,dead_end,42.41,0.04178,2507.7,27.83,70.24,3,True,42.5,False,27.81,35.73,False,0.04089285714285714,True,False,False
J19,280404.721,2115998.751,1,dead_end,40.42,0.0222,1332.6,29.85,70.27,3,True,42.5,False,27.81,35.73,False,0.04089285714285714,False,False,False
J20,280405.088,2116893.568,1,dead_end,41.87,0.08663,5199.4,68.23,110.1,1,True,44.577999999999996,False,52.72,66.21,True,0.2977485,False,False,False
J21,280416.703,2115942.973,3,junction,42.59,0.0044,264.1,27.69,70.28,3,True,42.5,True,27.81,35.73,True,0.04089285714285714,False,False,False
J22,280416.758,2115942.293,3,junction,42.59,0.0066,396.1,27.69,70.28,3,True,42.5,True,27.81,35.73,True,0.04089285714285714,False,False,False
J23,280427.986,2115916.5,3,junction,42.66,0.0688,4129.4,27.74,70.4,3,True,42.5,True,27.81,35.73,True,0.04089285714285714,True,True,True
J24,280429.151,2115962.123,1,dead_end,42.7,0.02498,1499.4,27.57,70.27,3,True,42.5,True,27.81,35.73,True,0.04089285714285714,False,False,False
J25,280432.464,2116899.724,3,junction,42.35,0.14999,9002.3,67.78,110.13,1,True,44.577999999999996,False,52.72,66.21,True,0.2977485,False,False,False
J26,280448.752,2116893.124,3,junction,42.35,0.12061,7239.2,67.79,110.14,1,True,44.577999999999996,False,52.72,66.21,True,0.2977485,False,False,False
J27,280451.775,2117173.713,1,dead_end,44.82,0.63087,37864.6,62.14,106.96,1,True,44.577999999999996,True,52.72,66.21,False,0.2977485,True,False,True
J28,280453.071,2116793.447,1,dead_end,41.51,0.55135,33092.1,65.88,107.39,1,True,44.577999999999996,False,52.72,66.21,False,0.2977485,True,False,False
J29,280466.595,2116007.581,4,junction,40.77,0.03796,2278.6,34.95,75.72,3,True,42.5,False,27.81,35.73,False,0.04089285714285714,False,False,False
J30,280468.373,2115951.643,3,junction,42.31,0.10456,6275.6,33.34,75.65,3,True,42.5,False,27.81,35.73,False,0.04089285714285714,True,False,False
J31,280498.22,2116031.073,4,junction,36.71,0.02256,1354.2,39.01,75.72,3,True,42.5,False,27.81,35.73,True,0.04089285714285714,False,False,False
J32,280515.731,2117181.222,4,junction,44.21,0.38162,22905.1,65.2,109.41,1,True,44.577999999999996,False,52.72,66.21,False,0.2977485,True,False,False
J33,280519.063,2116005.265,3,junction,41.56,0.09719,5833.3,34.16,75.72,3,True,42.5,False,27.81,35.73,False,0.04089285714285714,True,False,False
J34,280523.78,2116030.826,4,junction,39.63,0.06053,3633.2,36.09,75.72,3,True,42.5,False,27.81,35.73,True,0.04089285714285714,True,False,False
J35,280527.785,2117472.59,1,dead_end,53.3,0.36426,21862.6,56.64,109.94,2,True,54.91976744186047,False,49.51,58.98,False,0.062293604651162786,True,False,False
J36,280552.471,2116874.651,1,dead_end,46.31,0.08794,5278.4,63.95,110.26,1,True,44.577999999999996,True,52.72,66.21,False,0.2977485,False,False,False
J37,280557.697,2116343.929,1,dead_end,40.37,0.0335,2010.5,37.15,77.52,5,True,48.44123456790123,False,32.49,35.96,True,0.043671728395061726,False,False,False
J38,280562.339,2116865.362,1,dead_end,46.79,0.03618,2171.6,22.79,69.58,1,True,44.577999999999996,True,52.72,66.21,True,0.2977485,False,False,False
J39,280574.022,2116861.869,1,dead_end,46.95,0.0169,1014.3,22.63,69.58,1,True,44.577999999999996,True,52.72,66.21,True,0.2977485,False,False,False
J40,280576.379,2116951.25,1,dead_end,47.79,0.41305,24791.1,28.71,76.5,1,True,44.577999999999996,True,52.72,66.21,True,0.2977485,True,True,True
J41,280577.794,2116858.62,3,junction,46.95,0.28405,17048.8,22.63,69.58,1,True,44.577999999999996,True,52.72,66.21,True,0.2977485,False,False,True
J42,280578.552,2116302.115,4,junction,41.32,0.03323,1994.4,36.21,77.53,5,True,48.44123456790123,False,32.49,35.96,True,0.043671728395061726,False,False,False
J43,280580.717,2116173.606,1,dead_end,41.73,0.02052,1231.5,35.73,77.46,3,True,42.5,False,27.81,35.73,True,0.04089285714285714,False,False,False
J44,280585.629,2116143.013,1,dead_end,40.74,0.0214,1284.7,34.97,75.71,3,True,42.5,False,27.81,35.73,False,0.04089285714285714,False,False,False
J45,280586.773,2116117.181,3,junction,41.3,0.03616,2170.1,34.42,75.72,3,True,42.5,False,27.81,35.73,False,0.04089285714285714,False,False,False
J46,280587.358,2116471.393,1,dead_end,47.13,0.14607,8767.1,23.04,70.17,5,True,48.44123456790123,False,32.49,35.96,True,0.043671728395061726,True,False,False
J47,280592.75,2116223.071,1,dead_end,40.69,0.0342,2052.5,36.79,77.48,5,True,48.44123456790123,False,32.49,35.96,True,0.043671728395061726,False,False,False
J48,280598.841,2116170.057,3,junction,41.73,0.0301,1806.5,35.73,77.46,3,True,42.5,False,27.81,35.73,True,0.04089285714285714,False,False,False
J49,280602.935,2116113.678,1,dead_end,41.3,0.03784,2271.4,34.41,75.71,3,True,42.5,False,27.81,35.73,False,0.04089285714285714,False,False,False
