pipe_id,node1,node2,length_m,diameter_cad_mm,diameter_mm,material,diameter_from_cad,label_distance_m,peak_tree_flow_lps,flow_lps,velocity_ms,headloss_m_per_km
P1,J1,J3,71.16,50.0,50.0,,True,22.8,1.6056,-1.6056,0.8177,0.0257
P2,J3,J2,23.81,50.0,50.0,,True,30.9,0.2746,0.2747,0.1399,0.001
P3,J3,J8,85.88,100.0,100.0,UNK,False,inf,4.4766,-3.312,0.4217,0.0034
P4,J3,J6,162.95,100.0,100.0,UNK,False,inf,0.0,-1.1645,0.1483,0.0005
P5,J4,J3,325.56,50.0,50.0,GI,True,13.5,1.843,-1.8431,0.9387,0.0282
P6,J6,J5,29.8,50.0,50.0,UNK,False,inf,0.674,0.674,0.3433,0.0051
P7,J6,J7,6.23,50.0,50.0,UNK,False,inf,0.6867,0.6867,0.3497,0.0053
P8,J6,J8,91.54,100.0,100.0,UNK,False,inf,1.5276,-2.6921,0.3428,0.0023
P9,J8,J32,270.89,100.0,100.0,UNK,False,inf,6.8094,-6.8094,0.867,0.0127
P10,J9,J29,147.8,50.0,50.0,UNK,False,inf,0.012,-0.012,0.0061,0.0
P11,J11,J10,64.22,50.0,50.0,UNK,False,inf,0.3905,0.3905,0.1989,0.0019
P12,J11,J12,22.93,50.0,50.0,UNK,False,inf,0.1098,0.1098,0.0559,0.0002
P13,J11,J23,128.31,100.0,100.0,UNK,False,inf,0.9072,-0.9072,0.1155,0.0003
P14,J25,J13,95.76,50.0,50.0,,True,29.5,1.1801,1.1801,0.601,0.0145
P15,J16,J14,13.78,50.0,50.0,UNK,False,inf,0.0163,0.0163,0.0083,0.0
P16,J16,J15,19.57,50.0,50.0,UNK,False,inf,0.0476,0.0476,0.0242,0.0
P17,J17,J16,8.74,40.0,40.0,,True,52.3,0.082,0.082,0.0652,0.0003
P18,J17,J18,10.27,40.0,40.0,,True,48.7,0.1044,0.1044,0.0831,0.0005
P19,J22,J17,19.63,40.0,40.0,,True,41.4,0.1942,0.1942,0.1545,0.0015
P20,J19,J21,61.12,40.0,40.0,,True,57.7,0.0555,-0.0555,0.0442,1e-04
P21,J25,J20,37.5,50.0,50.0,,True,50.9,0.2166,0.2166,0.1103,0.0006
P22,J21,J24,32.43,40.0,40.0,,True,26.3,0.0624,0.0624,0.0497,0.0002
P23,J21,J22,0.68,40.0,40.0,,True,33.1,0.129,-0.129,0.1026,0.0007
P24,J22,J23,28.96,40.0,40.0,,True,24.5,0.3396,-0.3396,0.2703,0.0043
P25,J23,J30,86.71,40.0,40.0,,True,24.4,1.4188,-1.4189,1.1291,0.0606
P26,J26,J25,17.57,100.0,100.0,UNK,False,inf,1.7716,1.7716,0.2256,0.0011
P27,J26,J28,142.54,50.0,50.0,UNK,False,inf,1.3784,1.3784,0.702,0.0194
P28,J68,J26,429.58,150.0,150.0,,True,15.4,3.4516,3.4516,0.1953,0.0005
P29,J27,J32,82.48,50.0,50.0,CI,True,4.7,1.5772,-1.5772,0.8032,0.0296
P30,J29,J31,40.85,100.0,100.0,UNK,False,inf,1.7871,-0.1478,0.0188,0.0
